,address,bike_stands,last_update,lat,lng,name,status
127,93 RUE DE MONTREUIL - 75011 PARIS,33,2017-09-29 22:58:46,48.85050701184191,2.393075558274471,11012 - MONTREUIL VOLTAIRE,OPEN
128,FACE 2 RUE DU LANDY - 93300 AUBERVILLIERS,30,2017-09-29 22:59:39,48.915156182813234,2.376424009514086,33012 - LANDY (AUBERVILLIERS),OPEN
129,168 AVENUE JEAN JAURES - 93500 PANTIN,26,2017-09-29 22:59:43,48.91013709505388,2.399325633305226,35001 - JAURES 1 (PANTIN),OPEN
130,5-7 AVENUE MARCEL MARTINIE - 92170 VANVES,24,2017-09-29 23:02:35,48.821049923459526,2.29130063072414,21703 - MARTINIE (VANVES),OPEN
131,14 RUE BACHAUMONT - 75002 PARIS,33,2017-09-29 22:54:54,48.866067150086806,2.345463652702569,02101 - BACHAUMONT,OPEN
132,2 RUE DE CHAZELLES - 75017 PARIS,35,2017-09-29 22:55:24,48.8794303755264,2.303467406687128,17025 - COURCELLES,OPEN
133,FACE 28 BOULEVARD RASPAIL - 75007 PARIS,36,2017-09-29 22:54:36,48.853261668611665,2.326319806384382,07004 - RASPAIL VARENNE,OPEN
134,55 RUE DES CENDRIERS - 75020 PARIS,12,2017-09-29 22:53:30,48.86629510600211,2.389350412433471,20032 - AMANDIERS,OPEN
135,24 RUE D'AUVERGNE - 75009 PARIS,17,2017-09-29 23:02:21,48.87916177777549,2.34369843072095,09008 - TOUR D'AUVERGNE,OPEN
136,4 AVENUE VORGES - 94300 VINCENNES,25,2017-09-29 22:59:21,48.848257752729346,2.439892899386235,43007 - VORGES (VINCENNES),OPEN
137,76-68 QUAI DE LA RAPEE - 75012 PARIS,52,2017-09-29 22:58:21,48.8439658,2.3703793,12006 - QUAI DE LA RAPEE - GARE DE LYON,OPEN
138,FACE 44 RUE D'ESTIENNES D'ORVES / PISCINE - 92120 MONTROUGE,31,2017-09-29 22:52:47,48.815388220397274,2.320886790760933,21204 - D'ORVES (MONTROUGE),OPEN
139,61 AVENUE RENE COTY - 75014 PARIS,53,2017-09-29 23:02:34,48.82476710259696,2.335999677300567,14016 - REILLE MONTSOURIS,OPEN
140,38 RUE DE LA REPUBLIQUE - 93100 MONTREUIL,25,2017-09-29 23:01:16,48.85281419134583,2.419307088753658,31002 - REPUBLIQUE (MONTREUIL),OPEN
141,88 RUE BALARD - 75015 PARIS,36,2017-09-29 23:02:25,48.83863387153602,2.278274193061826,15070 - BLANC,OPEN
142,172 RUE DE COURCELLES - 75017 PARIS,26,2017-09-29 22:57:07,48.883769733273496,2.29858466343129,17047 - COURCELLES - DEMOURES,OPEN
143,13 RUE CARPEAUX - 75018 PARIS,19,2017-09-29 22:54:19,48.890747210171405,2.330820396477741,18018 - CARPEAUX,OPEN
144,29 RUE DES BLANCS MANTEAUX - 75004 PARIS,30,2017-09-29 22:58:59,48.85940271964358,2.35592748653501,04014 - ARCHIVES BLANCS MANTEAUX,OPEN
145,84 RUE DE LA FEDERATION - 75015 PARIS,24,2017-09-29 22:52:59,48.85276674352813,2.297876431467921,15105 - SUFFREN FÉDÉRATION,OPEN
