address,bike_stands,last_update,lat,lng,name,status
10 PLACE SAINTE ANNE,18,2017-09-29 23:39:41,45.757042,4.86532,3099 - PLACE SAINTE ANNE,OPEN
95 AV. DE L'EUROPE,20,2017-09-29 23:39:25,45.740052,4.85941,8010 - PLACE MENDÈS FRANCE,OPEN
6 RUE JEAN RENOIR,15,2017-09-29 23:32:43,45.752907,4.863923,3067 - HACHETTE,OPEN
Angle rue des Aqueducs,18,2017-09-29 23:31:37,45.756535,4.796616,5002 - PLACE DES COMPAGNONS DE LA CHANSON,OPEN
Au niveau de la rue Duvivier,13,2017-09-29 23:39:41,45.752553,4.855756,3039 - PLACE BIR-HAKEIM,OPEN
Angle cours Gambetta,13,2017-09-29 23:35:58,45.751123,4.855604,3053 - GAMBETTA / JUSSERAND (FAR),OPEN
Entre Herriot et République,15,2017-09-29 23:39:03,45.758733,4.834136,2024 - RÉPUBLIQUE / MAUPIN,OPEN
3 RUE JEAN DE TOURNES,16,2017-09-29 23:32:14,45.760762,4.834305,2014 - JACOBINS,OPEN
2 RUE DES BIENVENUS,15,2017-09-29 23:39:35,45.777873,4.884238,10083 - CHATEAU GAILLARD / BIENVENUS,OPEN
Rue de la République,15,2017-09-29 23:35:56,45.762184,4.836023,2017 - RÉPUBLIQUE / FERRANDIÈRE (FAR),OPEN
Angle rue Docteur Long/av. Lacassagne,13,2017-09-29 23:40:40,45.748193,4.880641,3051 - PLACE HENRI,OPEN
Rue Tissot / angle rue de Bourgogne,16,2017-09-29 23:39:33,45.777287,4.803297,9006 - THÉÂTRE NOUVELLE GÉNÉRATION,OPEN
Rue Antoine Primat/Angle rue Decorps,16,2017-09-29 23:35:12,45.757173,4.89998,10032 - PRIMAT / DECORPS,OPEN
Angle République / rue de la Barre,18,2017-09-29 23:40:28,45.758,4.834594,2001 - BELLECOUR / RÉPUBLIQUE (FAR),OPEN
Angle cours Charlemagne,14,2017-09-29 23:35:04,45.745528,4.82359,2006 - PLACE DE L'HIPPODROME,OPEN
Rue de la Platière - Angle quai de la Pêcherie,17,2017-09-29 23:38:18,45.765944,4.831089,1016 - PÊCHERIE,OPEN
103 ave des Arts / rue des Sports,30,2017-09-29 23:34:49,45.784526,4.877482,10103 - DOUA / RUE DES SPORTS,OPEN
96 RUE ALEXIS PERRONCEL (VILLEURBANNE),17,2017-09-29 23:40:38,45.775409,4.880261,10080 - VAILLANT / PERRONCEL,OPEN
Cours E. Zola / Angle passage Rey,19,2017-09-29 23:34:12,45.770099,4.876728,10074 - ZOLA / PASSAGE REY,OPEN
101 AV. BARTHELEMY BUYER,22,2017-09-29 23:33:50,45.762013,4.802751,5055 - BUYER / APOLLINAIRE,OPEN
173 AV. PAUL KRUGER (VILLEURBANNE),22,2017-09-29 21:07:26,45.754181,4.90528,10115 - PLACE D'ESPAGNE / STADE KRUGER,OPEN
Intersection Rockefeller / Esquirol,19,2017-09-29 23:36:26,45.741336,4.885538,3024 - ROCKEFELLER / ESQUIROL,OPEN
Rue Garibaldi - Angle avenue Berthelot,10,2017-09-29 23:32:02,45.743756,4.847406,7011 - BERTHELOT / GARIBALDI,OPEN
54 BVD PINEL,30,2017-09-29 23:37:54,45.748286,4.896975,3091 - HOPITAL NEUROLOGIQUE,OPEN
43 RUE PIERRE BARATIN (VILLEURBANNE),16,2017-09-29 23:38:29,45.763139,4.900492,10035 - BOIRON GRANGÉ,OPEN
17 RUE D'AUSTERLITZ,18,2017-09-29 23:31:13,45.775435,4.83512,4041 - BOUSSANGES / AUSTERLITZ,OPEN
65 RUE MAZENOD,16,2017-09-29 23:40:41,45.75882,4.846453,3088 - PLACE GUICHARD,OPEN
Rue Anatole France,13,2017-09-29 23:37:21,45.76884,4.884276,10059 - ANATOLE FRANCE / ZOLA,OPEN
Face au 54 Boulevard Ambroise Paré,24,2017-09-29 23:37:48,45.736289,4.883667,8040 - AMBROISE PARÉ,OPEN
Angle avenue Thiers,16,2017-09-29 23:35:54,45.766002,4.86218,6016 - VIABERT / THIERS,OPEN
Entre la cathédrale et le funiculaire,29,2017-09-29 23:35:58,45.760468,4.826548,5004 - ST JEAN (FAR),OPEN
126 RUE DU 8 MAI 1945 (VILLEURBANNE),18,2017-09-29 23:36:20,45.773845,4.893851,10030 - GREUZE,OPEN
99 RUE PIERRE VOYANT (VILLEURBANNE),22,2017-09-29 23:35:35,45.767194,4.900597,10118 - VOYANT / CHAMBORD,OPEN
rue de la Technologie,30,2017-09-29 23:37:13,45.785632,4.882366,10001 - IUT / FEYSSINE,OPEN
64 BVD EUGENE REGUILLON (VILLEURBANNE),20,2017-09-29 23:39:00,45.761597,4.896386,10071 - LYCÉE MARIE CURIE,OPEN
AVENUE DU PLATEAU,12,2017-09-29 23:35:17,45.783698,4.794485,9050 - ALLEE DE L'EUROPE,OPEN
Face au 115 rue Pierre Baratin,12,2017-09-29 23:35:56,45.760603,4.900702,10087 - BARATIN,OPEN
"Avenue Birmingham, sortie tunnel mode doux côté Saöne - 69000 Lyon",20,2017-09-29 23:33:56,45.774574,4.813656,04026 - BIRMINGHAM,OPEN
1 PLACE KIMMERLING (VILLEURBANNE),16,2017-09-29 23:31:37,45.752923,4.898891,10041 - KIMMERLING,OPEN
Parvis du musée des confluences,20,2017-09-29 23:39:57,45.733388,4.818954,2020 - MUSEE DES CONFLUENCES,OPEN
Place de Trion,16,2017-09-29 23:34:02,45.757916,4.81317,5007 - PLACE DE TRION,OPEN
Angle rue Garibaldi,17,2017-09-29 23:34:19,45.760779,4.85276,3015 - SERVIENT / GARIBALDI,OPEN
92 RUE DU BOURBONNAIS,19,2017-09-29 23:40:09,45.786533,4.811446,9042 - VAISE DOCKS,OPEN
93–131 Avenue Tony Garnier 69007 Lyon,20,2017-09-29 23:32:04,45.730786,4.823733,7013 - HALLE TONY GARNIER,OPEN
Quai Gillet au  niveau de la place de la Rochette. Caluire et Cuire.,20,2017-09-29 23:40:10,45.791748,4.823595,11003 - LA ROCHETTE,OPEN
3 QUAI ANDRE LASSAGNE,16,2017-09-29 23:40:28,45.772191,4.837917,1035 - QUAI LASSAGNE,OPEN
Allée A. Lignon,27,2017-09-29 23:38:18,45.782287,4.849378,6037 - CITÉ INTERNATIONALE / INTERPOL,OPEN
184 ROUTE DE VIENNE,20,2017-09-29 23:37:36,45.732483,4.853406,8057 - VIENNE / MONTAGNY,OPEN
"Rue Felissent, angle rue de Marseille",15,2017-09-29 23:38:48,45.752989,4.841417,7014 - MARSEILLE / FÉLISSENT,OPEN
Angle rue Villon,15,2017-09-29 23:37:19,45.745018,4.866424,8007 - FRÈRES LUMIÈRE,OPEN
Place Général André - Face au 126 avenue Paul Santy,16,2017-09-29 23:40:00,45.728542,4.877279,8021 - PAUL SANTY,OPEN
Face station tram Ste Blandine,16,2017-09-29 23:40:21,45.744438,4.822152,2028- SAINTE-BLANDINE,OPEN
